"ts","userid","sessionid","remote_ip","platform","sdk_ver","debug_device","user_agent","submit_time","name","custom_params__latitude","custom_params__time","custom_params__longitude","appid","type"
"1516632323446","634dc2c4a91ad49dfb9a4538bbee429d","5593671371451315833","49.206.116.182","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/22/2018 09:01:49","gameStart","13.06076","1.516632323239E9","80.2061","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516671629302","c092d6dc9e0b24eb194d284ab724b7e9","5892362905026158807","157.50.62.5","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 6.0; BLN-L22 Build/HONORBLN-L22)","01/22/2018 20:01:18","gameStart","13.04769","1.51667103433E9","80.10883","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516671629302","c092d6dc9e0b24eb194d284ab724b7e9","5892362905026158807","157.50.62.5","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 6.0; BLN-L22 Build/HONORBLN-L22)","01/22/2018 20:01:25","gameStart","13.04769","1.51667103433E9","80.10883","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516671727293","c092d6dc9e0b24eb194d284ab724b7e9","5892362905026158807","157.50.62.5","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 6.0; BLN-L22 Build/HONORBLN-L22)","01/22/2018 20:01:98","gameStart","13.04802","1.516671647937E9","80.10814","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516671727293","c092d6dc9e0b24eb194d284ab724b7e9","5892362905026158807","157.50.31.181","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 6.0; BLN-L22 Build/HONORBLN-L22)","01/22/2018 20:01:98","gameStart","13.04802","1.516671647937E9","80.10814","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516672542750","c092d6dc9e0b24eb194d284ab724b7e9","5892362905026158807","157.50.31.181","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 6.0; BLN-L22 Build/HONORBLN-L22)","01/22/2018 20:01:37","gameStart","13.04802","1.516671768041E9","80.10814","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516672542750","c092d6dc9e0b24eb194d284ab724b7e9","5892362905026158807","157.50.52.236","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 6.0; BLN-L22 Build/HONORBLN-L22)","01/22/2018 22:01:77","gameStart","13.04802","1.516671768041E9","80.10814","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516679322626","c092d6dc9e0b24eb194d284ab724b7e9","2825677925502079770","157.50.52.236","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 6.0; BLN-L22 Build/HONORBLN-L22)","01/22/2018 22:01:32","gameStart","13.04769","1.516678168317E9","80.10883","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516679768469","c092d6dc9e0b24eb194d284ab724b7e9","2825677925502079770","157.50.52.236","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 6.0; BLN-L22 Build/HONORBLN-L22)","01/22/2018 22:01:72","gameStart","13.04802","1.516679461152E9","80.10814","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516680463825","c092d6dc9e0b24eb194d284ab724b7e9","2825677925502079770","157.50.52.236","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 6.0; BLN-L22 Build/HONORBLN-L22)","01/22/2018 23:01:94","gameStart","13.04804","1.516680421741E9","80.10883","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
